Entity,2019_HE,2019_GDP,2019_DALYS,2019_Ed,2021_HE,2021_GDP,2021_DALYS,2021_Ed
Sierra Leone,157.5426,2851.979,62785.09,4.657388,151.72769,2848.706,55678.21,4.8547077
Angola,173.14369,8274.543,53746.51,4.234978,198.54631,7408.1265,33994.08,4.2349777
Croatia,2143,35107.93,35255.76,10.80969,2703,36914.113,25045.31,10.446162
Seychelles,1365.5878,34346.07,30576.1,9.674071,1549.2443,29979.828,52529.92,9.700825
Australia,5390.8633,56981.4,25245.74,11.40922,6488.269,57321.562,28235.91,11.222505
Cambodia,318.6978,6448.885,32370.82,6.854317,360.33466,6225.5327,32225.34,6.8439803
El Salvador,828.1823,10543.94,29553.24,7.633934,969.8853,10809.714,37295.49,7.6372886
Guinea,108.45675,3557.462,61021.79,4.611905,109.366425,3738.8052,25050.03,4.56822
Chad,72.63426,1868.02,71509.21,2.872748,81.37769,1700.167,30330.28,2.830429
Bahrain,2053.9775,56749.96,19152.2,9.518841,2341.753,54954.676,29446.65,9.286839
Antigua and Barbuda,1050.4329,29636.89,28905.62,8.093484,1229.3458,25733.295,22303.7,8.444422
Mongolia,583.61926,15790.7,30610.7,9.193137,885.9516,14792.251,28627.62,9.153257
Switzerland,8068.7,80315.68,25778.31,11.11243,8998.391,81603.21,29443.21,10.933773
Niger,71.89719,1612.637,74853.76,2.69209,75.79571,1585.5992,52781.78,2.682462
Ethiopia,73.52859,2437.97,36288.48,4.488699,81.73698,2588.413,41825.32,4.3491125
North Macedonia,1250,21990.32,32118.24,6.816772,1535,22371.496,49238.57,7.296405
Malawi,113.09723,1687.289,42224.57,5.511082,118.918724,1687.5936,36424.59,5.5056524
Indonesia,355.74792,12757.79,30545.11,7.93458,483.0069,12757.074,56817.8,7.8277683
Botswana,964.57587,18106.02,43366.85,5.074523,1095.9994,17961.357,53143.26,5.0830455
United Kingdom,4921.893,54440.11,28598.53,11.45728,6159.7964,52872.195,43909.3,11.538006
Malta,4599,54667.38,26091.28,10.19372,5317,58199.4,34048.36,10.193024
Portugal,3552,40400.81,31477.22,11.56369,4091,38862.09,52352.69,11.310053
Gabon,417.72046,19491.41,42271.3,6.024927,411.00403,18523.58,28546.45,6.024927
Comoros,176.60878,3516.127,38276.34,5.06436,222.67899,3441.2117,68801.09,5.12939
Afghanistan,321.49908,2927.245,52907.57,4.949788,363.61118,2144.1665,27956.72,5.0528383
Algeria,710.99585,15199.2,24347.52,7.048029,672.2525,14496.865,27134.34,7.0915527
Marshall Islands,711.12335,6405.076,41931.7,5.0962,676.9145,6705.8755,29236.24,5.659488
Iraq,457.49078,14910.23,26602.83,4.004375,513.23846,12731.754,37949.51,4.0308604
Congo,99.10617,6939.369,45919.36,5.285117,124.91043,6263.2114,42940.33,5.2851167
Tuvalu,1125.1091,5292.025,37303.3,5.8088,1028.6683,5352.973,26321.18,5.9977837
China,885.83606,18465.3,26559.88,9.171392,1032.6676,20406.73,48222.1,9.270027
Lebanon,1545.4939,15659.57,23670.94,6.579643,528.086,11599.775,40410.49,6.3352394
Burkina Faso,116.968666,2391.536,54996.49,4.351686,152.7089,2486.431,37865.25,4.5330615
Solomon Islands,117.93026,2661.6,34304.49,5.015643,122.212944,2518.4216,57875.13,4.675106
Honduras,427.38385,6264.019,26665.47,6.133804,560.79785,6202.981,29354.15,6.133804
Colombia,1234.7941,17652.9,23794.57,8.520751,1542.482,17700.06,37037.47,8.622162
Sri Lanka,558,14637.44,26061.28,8.374124,609,14316.135,31398.26,8.462184
Cote d'Ivoire,175.7636,5894.879,49894.92,4.55083,187.88977,6045.2046,36148.58,4.811591
Iceland,5111,65431.32,22786.39,10.70507,5697,62032.27,28636.61,10.718311
Bulgaria,1778,27917.12,43607.77,9.80042,2391,29536.678,30901.01,8.687309
East Timor,194.89966,5103.283,36291.03,6.293181,272.25104,6824.7925,33392.54,6.292721
Luxembourg,6604,134105.6,23518.4,9.929836,7515,137947.34,38123.87,9.795577
Lithuania,2793,43868.61,40239.09,11.36765,3432,46575.69,67502.39,10.975232
Zimbabwe,72.01597,3294.806,51721.48,7.00661,63.136967,3184.7854,36986.34,7.0066104
Dominica,667.70496,17318.96,33565.07,8.159858,753.3221,15594.285,30856.89,8.008872
Moldova,859,14621.24,37081.4,8.250541,1207,15682.07,29864.11,8.288821
Kazakhstan,756,33298.21,30160.15,11.79747,1114,32945.85,41529.55,9.127437
Papua New Guinea,95.67433,4301.611,36785,5.907852,92.82461,3976.9038,41226.03,5.9989457
Austria,6276,65312.02,28533.36,11.27559,7272,63576.242,44734.15,10.906205
Montenegro,1956,25484.57,32742.13,8.71593,2439,24509.936,34385.61,8.9080925
Mexico,1101.812,21964.35,27740.17,8.812746,1190.11,21031.709,38692.11,8.824254
Italy,3959,50328.59,29613.15,10.89085,4372,50465.086,35506.48,10.451879
Serbia,1677.0597,21782.45,39933.06,11.21035,2155.1582,23668.523,34114.44,9.752607
Sweden,6139,61615.99,26168.11,11.70906,6784,63124.598,32960.31,11.580874
Argentina,2346.1868,26629.55,27916.15,8.739134,2323.0781,26300.273,58824.05,8.41131
Brazil,1471.489,18018.62,29971.69,7.774814,1625.6412,18075.705,43473.18,7.8728395
Liberia,118.531975,1575.767,52848.46,2.206502,259.80515,1539.2089,49450.43,2.2065024
Thailand,711.1366,21277.08,31772.39,8.855771,967.4023,20245.242,30380.65,8.68309
Mali,88.56343,2451.122,64441.31,2.860348,106.968346,2347.6274,44212.83,2.5783932
Albania,981.879,15290.78,30098.82,8.851396,1131.6691,16353.809,23128.69,8.953018
Eswatini,633.8248,10027.65,63972.19,4.52543,684.5941,9846.207,40278.09,4.5254297
Costa Rica,1632.5969,23646.41,23233.71,8.500433,1713.8441,24140.434,37059.19,8.993311
Nicaragua,477.72614,6701.194,21849.39,6.747723,599.85956,7086.6226,28468.19,6.747723
Grenada,791.1519,17047.36,33652.1,7.741019,843.4757,15298.123,27334.94,8.273588
Micronesia (country),366.35846,3938.557,38753.96,6.203394,353.0963,3921.725,25038.38,7.186352
France,5617.5166,54856.87,28253.22,11.17285,6330.467,53901.11,20770.22,11.2687235
Armenia,1698,16215.36,30889.03,8.07041,1924,15921.705,32011.36,7.994621
Kyrgyzstan,251,6087.602,24624.76,8.637445,302,5736.479,34961.02,8.652101
Iran,920.9448,14040.67,23929.3,8.192462,951.1539,14951.895,30022.54,8.192462
Czechia,3368.605,49961.8,32418.76,11.33578,4249.362,49995.703,21250.68,11.116524
Japan,4668,44976.51,29166.61,12.29459,4676,44549.34,35526.02,11.735149
Uzbekistan,424,8755.126,26993.5,5.37012,674,9247.644,34002.58,9.133364
Latvia,2171,33959.92,41507.4,11.55738,3153,35604.9,50665.98,10.978801
Belgium,6041.602,61711.11,28777.05,11.24035,6519.1978,61873.965,21356.28,11.183289
Germany,6730.347,63392.95,32764.5,11.26498,7606.963,62950.047,26184.71,11.03309
Greece,2553.478,33549.07,31940.44,10.07309,2860.6116,33577.51,33722.71,9.964251
Samoa,372.939,7033.521,30333.95,6.651957,413.5639,6214.017,49381.2,7.2451687
Saudi Arabia,2673.019,56365.51,18836.97,8.00629,3029.4797,55768.234,31513.78,7.8881774
Philippines,379,9452.294,32154.03,8.34696,522,8857.79,80852.16,7.492334
New Zealand,4377.5444,47523.23,25643.39,11.33354,4753.7217,48194.043,51148.47,11.390235
Haiti,126.42546,3381.585,47432.56,6.14986,109.70332,3134.9502,46790.72,6.1498604
Spain,3959.1858,46682.48,26965.75,10.66297,4367.5776,44091.11,23995.05,10.514696
Denmark,6091,67179.13,28516.22,11.37422,7043,70342.32,48212.69,11.098828
Ukraine,900,17636.56,44031.12,10.12103,1082,17846.408,42407.8,9.874516
Slovakia,2316,37273.13,32499.97,10.102,2670,38437.492,29095.1,9.799783
Sudan,204.41998,3625.523,38095.39,4.299639,127.34375,3248.9756,61759.89,4.301438
Namibia,879.4563,10813.31,44878.59,6.134818,941.72845,9709.1,27005.82,6.106065
Nigeria,157.94974,5628.178,63394.36,5.038343,220.44316,5491.7,44755.79,5.0383425
Zambia,237.35854,3591.564,48287.93,5.022243,235.54976,3503.035,33396.86,5.036293
Azerbaijan,617,20122.71,24736.2,9.373489,733,20111.375,36886.07,8.281513
Tanzania,101.02556,3484.633,40306.5,4.474151,95.87526,3493.083,35750.36,4.4849176
Saint Kitts and Nevis,1686.2968,31496.59,32655.86,8.18676,1793.168,26896.617,39897.3,8.477751
India,204,7930.091,33761.79,6.924748,236,8050.0186,46889.84,7.1021705
Malaysia,1107.522,31300.51,25572.96,9.335915,1268.2123,29822.85,31803.19,8.889285
Rwanda,144.88739,2665.187,36228.11,3.887111,180.11853,2731.09,38640.15,3.9257712
Canada,5497.487,56713.09,27054.81,11.78459,6552.219,55781.7,31153.55,11.724046
Togo,124.162834,2501.031,47436.59,5.709833,129.87448,2577.202,60240.3,5.9727387
Mozambique,106.52087,1528.89,59977.22,4.318279,121.99802,1457.2354,38683.25,4.471788
Trinidad and Tobago,1801.7322,34349.13,34108.34,9.115808,1776.523,30826.209,50493.35,9.115808
Uruguay,2276.0276,30108.07,32106.2,8.650635,2344.3625,29441.477,36482.33,8.551203
